frame,vehicle_count,avg_wait_time_seconds,congestion_status
0,0,0.0,Normal flow
1,0,0.0,Normal flow
2,0,0.0,Normal flow
3,0,0.0,Normal flow
4,0,0.0,Normal flow
5,0,0.0,Normal flow
6,0,0.0,Normal flow
7,0,0.0,Normal flow
8,0,0.0,Normal flow
9,0,0.0,Normal flow
10,0,0.0,Normal flow
11,0,0.0,Normal flow
12,0,0.0,Normal flow
13,0,0.0,Normal flow
14,0,0.0,Normal flow
15,0,0.0,Normal flow
16,0,0.0,Normal flow
17,0,0.0,Normal flow
18,0,0.0,Normal flow
19,0,0.0,Normal flow
20,0,0.0,Normal flow
21,0,0.0,Normal flow
22,0,0.0,Normal flow
23,0,0.0,Normal flow
24,0,0.0,Normal flow
25,0,0.0,Normal flow
26,0,0.0,Normal flow
27,0,0.0,Normal flow
28,0,0.0,Normal flow
29,0,0.0,Normal flow
30,0,0.0,Normal flow
31,0,0.0,Normal flow
32,0,0.0,Normal flow
33,0,0.0,Normal flow
34,0,0.0,Normal flow
35,0,0.0,Normal flow
36,0,0.0,Normal flow
37,0,0.0,Normal flow
38,1,0.0,Normal flow
39,1,0.03,Normal flow
40,1,0.07,Normal flow
41,1,0.1,Normal flow
42,1,0.13,Normal flow
43,1,0.17,Normal flow
44,1,0.2,Normal flow
45,1,0.23,Normal flow
46,1,0.27,Normal flow
47,1,0.3,Normal flow
48,1,0.33,Normal flow
49,1,0.37,Normal flow
50,1,0.4,Normal flow
51,1,0.43,Normal flow
52,1,0.47,Normal flow
53,1,0.5,Normal flow
54,1,0.53,Normal flow
55,1,0.57,Normal flow
56,1,0.6,Normal flow
57,1,0.63,Normal flow
58,1,0.67,Normal flow
59,1,0.7,Normal flow
60,1,0.73,Normal flow
61,1,0.77,Normal flow
62,1,0.8,Normal flow
63,1,0.83,Normal flow
64,1,0.87,Normal flow
65,1,0.9,Normal flow
66,1,0.93,Normal flow
67,1,0.97,Normal flow
68,1,1.0,Normal flow
69,1,1.03,Normal flow
70,1,1.07,Normal flow
71,1,1.1,Normal flow
72,1,1.13,Normal flow
73,1,1.17,Normal flow
74,2,0.6,Normal flow
75,2,0.63,Normal flow
76,2,0.67,Normal flow
77,2,0.7,Normal flow
78,2,0.73,Normal flow
79,2,0.77,Normal flow
80,2,0.8,Normal flow
81,2,0.83,Normal flow
82,2,0.87,Normal flow
83,2,0.9,Normal flow
84,2,0.93,Normal flow
85,2,0.97,Normal flow
86,2,1.0,Normal flow
87,3,0.69,Normal flow
88,3,0.72,Normal flow
89,3,0.76,Normal flow
90,3,0.79,Normal flow
91,3,0.82,Normal flow
92,3,0.86,Normal flow
93,3,0.89,Normal flow
94,3,0.92,Normal flow
95,3,0.96,Normal flow
96,3,0.99,Normal flow
97,3,1.02,Normal flow
98,3,1.06,Normal flow
99,3,1.09,Normal flow
100,3,1.12,Normal flow
101,3,1.16,Normal flow
102,3,1.19,Normal flow
103,3,1.22,Normal flow
104,3,1.26,Normal flow
105,3,1.29,Normal flow
106,3,1.32,Normal flow
107,3,1.36,Normal flow
108,3,1.39,Normal flow
109,3,1.42,Normal flow
110,3,1.46,Normal flow
111,4,1.12,Normal flow
112,4,1.15,Normal flow
113,5,0.95,Normal flow
114,5,0.98,Normal flow
115,5,1.01,Normal flow
116,5,1.05,Normal flow
117,5,1.08,Normal flow
118,5,1.11,Normal flow
119,5,1.15,Normal flow
120,5,1.18,Normal flow
121,5,1.21,Normal flow
122,5,1.25,Normal flow
123,5,1.28,Normal flow
124,5,1.31,Normal flow
125,5,1.35,Normal flow
126,5,1.38,Normal flow
127,5,1.41,Normal flow
128,5,1.45,Normal flow
129,5,1.48,Normal flow
130,5,1.51,Normal flow
131,5,1.55,Normal flow
132,5,1.58,Normal flow
133,5,1.61,Normal flow
134,5,1.65,Normal flow
135,5,1.68,Normal flow
136,5,1.71,Normal flow
137,5,1.75,Normal flow
138,5,1.78,Normal flow
139,5,1.81,Normal flow
140,6,1.54,Moderate congestion
141,6,1.57,Moderate congestion
142,6,1.61,Moderate congestion
143,6,1.64,Moderate congestion
144,6,1.67,Moderate congestion
145,6,1.71,Moderate congestion
146,6,1.74,Moderate congestion
147,6,1.77,Moderate congestion
148,6,1.81,Moderate congestion
149,6,1.84,Moderate congestion
150,6,1.87,Moderate congestion
151,6,1.91,Moderate congestion
152,6,1.94,Moderate congestion
153,6,1.97,Moderate congestion
154,6,2.01,Moderate congestion
155,6,2.04,Moderate congestion
156,6,2.07,Moderate congestion
157,6,2.11,Moderate congestion
158,6,2.14,Moderate congestion
159,6,2.17,Moderate congestion
160,6,2.21,Moderate congestion
161,6,2.24,Moderate congestion
162,6,2.27,Moderate congestion
163,6,2.31,Moderate congestion
164,6,2.34,Moderate congestion
165,6,2.37,Moderate congestion
166,6,2.41,Moderate congestion
167,6,2.44,Moderate congestion
168,6,2.47,Moderate congestion
169,6,2.51,Moderate congestion
170,6,2.54,Moderate congestion
171,6,2.57,Moderate congestion
172,6,2.61,Moderate congestion
173,6,2.64,Moderate congestion
174,6,2.67,Moderate congestion
175,6,2.71,Moderate congestion
176,6,2.74,Moderate congestion
177,6,2.77,Moderate congestion
178,6,2.81,Moderate congestion
179,6,2.84,Moderate congestion
180,6,2.87,Moderate congestion
181,6,2.91,Moderate congestion
182,6,2.94,Moderate congestion
183,6,2.97,Moderate congestion
184,6,3.01,Moderate congestion
185,6,3.04,Moderate congestion
186,6,3.07,Moderate congestion
187,6,3.11,Moderate congestion
188,6,3.14,Moderate congestion
189,6,3.17,Moderate congestion
190,6,3.21,Moderate congestion
191,6,3.24,Moderate congestion
192,6,3.27,Moderate congestion
193,6,3.31,Moderate congestion
194,6,3.34,Moderate congestion
195,6,3.37,Moderate congestion
196,6,3.41,Moderate congestion
197,6,3.44,Moderate congestion
